Nominal Name,Nominal ID Number,Under Edit by,Last Edit By,Country 1,"Location / Town
Country 1",Country 2,"Location / Town
Country 2",Other Names,Co-ordinates,Active,"Opening
Hours","Type
(road / rail / tunnel /
 motorway / pedestrian etc)","Bicycle Crossing
(Y/N)","TCR No4 Survey
(Y/N)",Notes
Vermosh - Guci,1,,Mike,Albania,Bashkim (Malësi e Madhe),Montenegro,Radoncici,Bashkim,"42.583321, 19.774376",,,Road,Y,,Poor road condition http://www.dangerousroads.org/eastern-europe/albania/2809-sh20-hani-i-hotit-vermosh.html
Hani Hoti - Boza,2,Mike,,Albania,Hani i Hoti,Montenegro,,,"42.330534, 19.420443",,,,,,
Morinë,3,,Stuart,Albania,Morinë,Kosovo,Zhur,," 42.155948, 20.547655",Y,,Road,Y,,Can be busy
Muriqan,4,,,Albania,,Montenegro,,,,,,,,,
Qafë Morinë - Gjakovë,5,,Stuart,Albania,Viçidol,Kosovo,Ponoshec,," 42.412925, 20.223272",Y,,Road,Y,,
Qafë e Prushit - Kukësit,6,,Stuart,Albania,Letaj,Kosovo,Zhub,," 42.302038, 20.382989",Y,,Road,Y,,May be uncleared landmines near road on Kosovo side
Shishtavec,7,,Stuart,Albania,Shishtavec,Kosovo,Krushevë,," 41.991808,  20.608660",Y,,Road,Y,,Unpaved road
Bihać,8,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Brčko,9,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Brod,10,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Cetingrad,11,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Davor,12,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
"Doljani, Čapljina",13,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Dubica,14,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Dvor,15,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Gradiška,16,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Gunja,17,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Jasenovac,18,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Kostajnica,19,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Metković,20,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Orašje,21,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Ripač,22,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Šamac,23,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Slabinja,24,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Srbac,25,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Svilaj,26,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Užljebić,27,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Velika Kladuša,28,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Županja,29,,,Bosnia and Herzegovina,,Croatia,,,,,,,,,
Bechet,30,,andrew,Bulgaria,Oryahova,Romania,Bechet,,"43°44'13.9""N 23°58'32.6""E",,,Ferry,,,
Bregovo,31,,andrew,Bulgaria,Bregova,Serbia,,,"44°09'14.7""N 22°37'36.5""E",,,Road,y,,
Calafat,32,,andrew,Bulgaria,Vidin,Romania,Calafat,,"44°00'14.0""N 22°56'53.2""E",,,Road,,,
Danube Bridge,33,,,Bulgaria,,Romania,,,,,,,,,
Delčevo,34,,,Bulgaria,,Macedonia,,,,,,,,,
"Dimitrovgrad, Serbia",35,,,Bulgaria,,Serbia,,,,,,,,,
Durankulak,36,,,Bulgaria,,Romania,,,,,,,,,
Giurgiu,37,,,Bulgaria,,Romania,,,,,,,,,
"Gradinje, Serbia",38,,,Bulgaria,,Serbia,,,,,,,,,
Gyueshevo,39,,,Bulgaria,,Macedonia,,,,,,,,,
Kalotina,40,,,Bulgaria,,Serbia,,,,,,,,,
"Kardam, Dobrich Province",41,,,Bulgaria,,Romania,,,,,,,,,
"Luke, Macedonia",42,,,Bulgaria,,Macedonia,,,,,,,,,
Negotin,43,,,Bulgaria,,Serbia,,,,,,,,,
"Negru Vodă, Constanța",44,,,Bulgaria,,Romania,,,,,,,,,
New Europe Bridge,45,,,Bulgaria,,Romania,,,,,,,,,
"Nikopol, Bulgaria",46,,,Bulgaria,,Romania,,,,,,,,,
Novo Selo (Novo Selo),47,,,Bulgaria,,Macedonia,,,,,,,,,
Novo Selo-Petrich,48,,,Bulgaria,,Macedonia,,,,,,,,,
Oltenița,49,,,Bulgaria,,Romania,,,,,,,,,
Oryahovo,50,,,Bulgaria,,Romania,,,,,,,,,
"Ostrov, Constanța",51,,,Bulgaria,,Romania,,,,,,,,,
Petrich,52,,,Bulgaria,,Macedonia,,,,,,,,,
"Ruse, Bulgaria",53,,andrew,Bulgaria,Ruse,Romania,Giurgiu,Giurgiu-Rousse Friendship Bridge,"43°53'12.0""N 26°00'30.2""E",,,Road,,,
Silistra,54,,,Bulgaria,,Romania,,,,,,,,,
Strezimirovci,55,,,Bulgaria,,Serbia,,,,,,,,,
Svishtov,56,,,Bulgaria,,Romania,,,,,,,,,
Svishtov,57,,,Bulgaria,,Romania,,,,,,,,,
Tutrakan,58,,,Bulgaria,,Romania,,,,,,,,,
Vama Veche,59,,,Bulgaria,,Romania,,,,,,,,,
Vidin,60,,,Bulgaria,,Romania,,,,,,,,,
Vrashka Chuka,61,,,Bulgaria,,Serbia,,,,,,,,,
Zimnicea,62,,,Bulgaria,,Romania,,,,,,,,,
Barcs,63,,,Croatia,,Hungary,,,,,,,,,
Bistrica ob Sotli,64,,,Croatia,,Slovenia,,,,,,,,,
Bregana,65,,,Croatia,,Slovenia,,,,,,,,,
Brod Moravice,66,,,Croatia,,Slovenia,,,,,,,,,
Donji Miholjac,67,,,Croatia,,Hungary,,,,,,,,,
Drnje,68,,,Croatia,,Hungary,,,,,,,,,
Gola,69,,,Croatia,,Hungary,,,,,,,,,
Goričan,70,,,Croatia,,Hungary,,,,,,,,,
Imeno,71,,,Croatia,,Slovenia,,,,,,,,,
Letenye,72,,,Croatia,,Hungary,,,,,,,,,
Macelj,73,,,Croatia,,Slovenia,,,,,,,,,
Metlika,74,,,Croatia,,Slovenia,,,,,,,,,
Miljana Border Bridge,75,,,Croatia,,Slovenia,,,,,,,,,
